Iteration;Input;Order;
2530000;3.4;426.101;
2540000;2;442.518;
2550000;1.1;452.328;
2560000;4.8;439.157;
2570000;5;490.318;
2580000;2.1;471.523;
2590000;2;447.461;
2600000;1.5;447.945;
2610000;1.7;492.842;
2620000;1.8;458.818;
2630000;1.6;456.749;
2640000;1.7;457.331;
2650000;1.6;447.649;
2660000;1.5;458.089;
2670000;1.4;452.296;
2680000;1.4;455.655;
2690000;2;455.522;
2700000;1.3;453.75;
2710000;1.7;465.208;
2720000;1.8;468.583;
2730000;2.1;458.446;
2740000;1.5;479.331;
2750000;1.5;472.768;
2760000;2.2;474.42;
2770000;1.6;473.903;
2780000;2;468.318;
2790000;1.6;485.216;
2800000;1.8;478.493;
2810000;3.2;473.219;
2820000;1.9;500.836;
2830000;2;490.384;
2840000;1.4;486.241;
2850000;1.8;504.657;
2860000;2;497.408;
2870000;1.1;483.437;
2880000;2.4;528.105;
2890000;1.6;518.661;
2900000;1;547.265;
2910000;1.2;495.047;
2920000;1.9;504.348;
2930000;2;497.392;
2940000;1.2;509.095;
2950000;1.2;496.091;
2960000;1.5;502.122;
2970000;1.8;519.67;
2980000;1.7;509.324;
2990000;1.4;534.196;
3000000;1.6;517.534;
3010000;1.8;524.844;
3020000;1.1;511.542;
3030000;1.3;529.304;
3040000;1.9;508.295;
3050000;1.3;546.749;
3060000;3.1;519.951;
3070000;1.9;565.142;
3080000;2.2;528.841;
3090000;1.8;526.728;
3100000;1.5;544.204;
3110000;1.4;533.32;
3120000;12;556.536;
3130000;1.7;523.916;
3140000;1.8;561.311;
3150000;2.3;541.233;
3160000;2.1;601.482;
3170000;1.7;627.682;
3180000;2;582.079;
3190000;2.3;593.689;
3200000;1.8;549.961;
3210000;1.9;545.659;
3220000;1.8;548.251;
3230000;1.7;544.033;
3240000;1.7;573.012;
3250000;1.7;563.847;
3260000;1.7;563.647;
3270000;1.3;559.098;
3280000;2.5;550.715;
3290000;2.3;560.54;
3300000;1.4;560.074;
3310000;2.4;576.894;
3320000;6.9;571.022;
3330000;1.4;583.571;
3340000;2.1;584.934;
3350000;1.9;575.038;
3360000;2.2;573.425;
3370000;1.8;568.919;
3380000;1.7;565.735;
3390000;1.8;596.664;
3400000;1.5;571.489;
3410000;1.4;625.085;
3420000;2.3;627.2;
3430000;1.1;636.822;
3440000;1.9;665.619;
3450000;1.4;665.66;
3460000;2.4;640.966;
3470000;1.7;622.961;
3480000;2.1;651.684;
3490000;1.3;647.253;
3500000;1.9;676.299;
3510000;1.4;638.795;
3520000;1.8;638.71;
3530000;1;639.974;
3540000;1.4;655.091;
3550000;2.2;644.629;
3560000;2.7;650.561;
3570000;2.1;653.6;
3580000;2.2;645.518;
3590000;2.8;643.256;
3600000;1.9;676.367;
3610000;1.6;664.801;
3620000;1.3;650.476;
3630000;2.1;676.151;
3640000;2.7;665.113;
3650000;1.3;661.347;
3660000;2.9;667.96;
3670000;1.7;690.298;
3680000;1.9;719.878;
